L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,passes,config_id
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.804778033949562,4.702953813117595,0.09255164676756081,0.2126323242237198,19.454558599431085,26.25648314880187,9.449824945997564,10.677975489361414,343.9267666227607,598.7986771924345,1129.1964774612622,376.39882582042077,274.969217396145,1.291076858256952,16.702284543427712,0.9338389304334936,73.91326552311759,739.1326552311759,1478.2653104623519,FAIL,swing>=10deg,False,242
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.804778033949562,4.702953813117595,0.09255164676756081,0.2126323242237198,19.454558599431085,26.25648314880187,8.313597997443358,10.594871774682561,343.9267666227607,299.39933859621726,1129.1964774612622,376.39882582042077,274.969217396145,1.291076858256952,16.686838917826716,0.9329753523730427,73.91326552311759,739.1326552311759,1478.2653104623519,FAIL,swing>=10deg,False,243
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.922444173758876,9.751328950394928,8.080839714547785,20.752807417178765,689.550704171198,306.7458071952167,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,16.14732411632766,0.9037117795800166,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,244
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.922444173758876,9.751328950394928,8.080772258397444,20.593723991475393,689.550704171198,153.37290359760834,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,16.14531601455081,0.9035993928330077,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,245
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.912696285128126,9.008844006126145,8.080839714547785,20.752807417178765,344.775352085599,306.7458071952167,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,16.14732411632766,0.9037117795800166,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,246
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.912696285128126,9.008844006126145,8.080772258397444,20.593723991475393,344.775352085599,153.37290359760834,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,16.14531601455081,0.9035993928330077,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,247
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.005,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.316938074116869,0.09224985200358278,0.43160411198351206,8.84761256534042,9.82136452878556,8.075181552899032,21.53664872207565,690.1038414054653,295.0017178668127,911.789775930892,303.92992531029734,288.07678257339154,1.0425029680807258,16.140998203207065,0.9033577393587082,73.913727849506,739.1372784950601,1478.2745569901201,OK,OK,True,248
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.316938074116869,0.09224985200358278,0.43160411198351206,8.84761256534042,9.82136452878556,8.075114046263788,21.36585501198207,690.1038414054653,147.50085893340636,911.789775930892,303.92992531029734,288.07678257339154,1.0425029680807258,16.138978588614005,0.9032447082778425,73.913727849506,739.1372784950601,1478.2745569901201,OK,OK,True,249
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.316938074116869,0.09224985200358278,0.43160411198351206,8.83807630788138,8.92612031713381,8.075181552899032,21.53664872207565,345.0519207027327,295.0017178668127,905.3367838403649,301.7789279467883,288.08633778268916,1.0351248820515118,16.140998203207065,0.9033577393587082,73.913727849506,739.1372784950601,1478.2745569901201,OK,OK,True,250
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.316938074116869,0.09224985200358278,0.43160411198351206,8.83807630788138,8.92612031713381,8.075114046263788,21.36585501198207,345.0519207027327,147.50085893340636,905.3367838403649,301.7789279467883,288.08633778268916,1.0351248820515118,16.138978588614005,0.9032447082778425,73.913727849506,739.1372784950601,1478.2745569901201,OK,OK,True,251
